Barycentric data loading time: 582.995152ms
2025/10/03 22:37:36 [JOB 1] WAL file samurai.db/280372.log with log number 280372 stopped reading at offset: 1359293; replayed 42 keys in 42 batches
Feeding update tasks to 16 workers
Block: 18911076 phase:modifiedaccounts accounts: 293 time: 4.485975916s
Block: 18911076 phase:balances accounts: 293 time: 142.341002ms
Block: 18911077 phase:modifiedaccounts accounts: 422 time: 6.276995449s
Block: 18911077 phase:balances accounts: 422 time: 257.402157ms
Block: 18911078 phase:modifiedaccounts accounts: 574 time: 4.035798768s
Block: 18911078 phase:balances accounts: 574 time: 217.670524ms
Block: 18911079 phase:modifiedaccounts accounts: 288 time: 5.835837033s
Block: 18911079 phase:balances accounts: 288 time: 110.68174ms
Block: 18911080 phase:modifiedaccounts accounts: 254 time: 3.579742338s
Block: 18911080 phase:balances accounts: 254 time: 118.170966ms
Block: 18911081 phase:modifiedaccounts accounts: 344 time: 5.775889314s
Block: 18911081 phase:balances accounts: 344 time: 69.735993ms
Block: 18911082 phase:modifiedaccounts accounts: 204 time: 3.366139851s
Block: 18911082 phase:balances accounts: 204 time: 96.160714ms
Block: 18911083 phase:modifiedaccounts accounts: 333 time: 4.502817709s
Block: 18911083 phase:balances accounts: 333 time: 203.43068ms
Block: 18911084 phase:modifiedaccounts accounts: 287 time: 5.37959185s
Block: 18911084 phase:balances accounts: 287 time: 140.835733ms
Block: 18911085 phase:modifiedaccounts accounts: 218 time: 3.662194574s
Block: 18911085 phase:balances accounts: 218 time: 93.174109ms
Block: 18911086 phase:modifiedaccounts accounts: 295 time: 5.048635851s
Block: 18911086 phase:balances accounts: 295 time: 117.198579ms
Block: 18911087 phase:modifiedaccounts accounts: 310 time: 4.121162665s
Block: 18911087 phase:balances accounts: 310 time: 147.084408ms
Block: 18911088 phase:modifiedaccounts accounts: 244 time: 6.558848548s
Block: 18911088 phase:balances accounts: 244 time: 83.249927ms
Block: 18911089 phase:modifiedaccounts accounts: 284 time: 3.53300414s
Block: 18911089 phase:balances accounts: 284 time: 144.641638ms
Block: 18911090 phase:modifiedaccounts accounts: 219 time: 5.531957936s
Block: 18911090 phase:balances accounts: 219 time: 100.960874ms
Block: 18911091 phase:modifiedaccounts accounts: 375 time: 4.447666716s
Block: 18911091 phase:balances accounts: 375 time: 226.023254ms
Block: 18911092 phase:modifiedaccounts accounts: 304 time: 5.806184501s
Block: 18911092 phase:balances accounts: 304 time: 199.596318ms
Block: 18911093 phase:modifiedaccounts accounts: 225 time: 4.15135705s
Block: 18911093 phase:balances accounts: 225 time: 96.361295ms
Block: 18911094 phase:modifiedaccounts accounts: 345 time: 4.741777343s
Block: 18911094 phase:balances accounts: 345 time: 248.065129ms
Block: 18911095 phase:modifiedaccounts accounts: 263 time: 5.019197206s
Block: 18911095 phase:balances accounts: 263 time: 103.240631ms
Block: 18911096 phase:modifiedaccounts accounts: 341 time: 4.457974416s
Block: 18911096 phase:balances accounts: 341 time: 206.769823ms
Block: 18911097 phase:modifiedaccounts accounts: 306 time: 5.651845986s
Block: 18911097 phase:balances accounts: 306 time: 117.840909ms
Block: 18911098 phase:modifiedaccounts accounts: 299 time: 4.513070255s
Block: 18911098 phase:balances accounts: 299 time: 188.340905ms
Block: 18911099 phase:modifiedaccounts accounts: 290 time: 4.627572726s
Block: 18911099 phase:balances accounts: 290 time: 108.938324ms
Block: 18911100 phase:modifiedaccounts accounts: 277 time: 4.497145613s
Block: 18911100 phase:balances accounts: 277 time: 118.744566ms
Block: 18911101 phase:modifiedaccounts accounts: 305 time: 4.217956915s
Block: 18911101 phase:balances accounts: 305 time: 118.72114ms
Block: 18911102 phase:modifiedaccounts accounts: 248 time: 4.67336325s
Block: 18911102 phase:balances accounts: 248 time: 94.940385ms
Block: 18911103 phase:modifiedaccounts accounts: 351 time: 4.402442786s
Block: 18911103 phase:balances accounts: 351 time: 270.208879ms
Block: 18911104 phase:modifiedaccounts accounts: 286 time: 5.788308621s
Block: 18911104 phase:balances accounts: 286 time: 120.642189ms
Block: 18911105 phase:modifiedaccounts accounts: 338 time: 3.959838128s
Block: 18911105 phase:balances accounts: 338 time: 162.465904ms
Block: 18911106 phase:modifiedaccounts accounts: 198 time: 5.146121201s
Block: 18911106 phase:balances accounts: 198 time: 148.753563ms
Block: 18911107 phase:modifiedaccounts accounts: 341 time: 3.4262328s
Block: 18911107 phase:balances accounts: 341 time: 195.674241ms
Block: 18911108 phase:modifiedaccounts accounts: 401 time: 4.858783924s
Block: 18911108 phase:balances accounts: 401 time: 190.542769ms
Block: 18911109 phase:modifiedaccounts accounts: 293 time: 4.158869542s
Block: 18911109 phase:balances accounts: 293 time: 92.804818ms
Block: 18911110 phase:modifiedaccounts accounts: 271 time: 3.69862541s
Block: 18911110 phase:balances accounts: 271 time: 131.694712ms
Block: 18911111 phase:modifiedaccounts accounts: 262 time: 6.043068076s
Block: 18911111 phase:balances accounts: 262 time: 220.019656ms
Block: 18911112 phase:modifiedaccounts accounts: 272 time: 4.446435589s
Block: 18911112 phase:balances accounts: 272 time: 144.728475ms
Block: 18911113 phase:modifiedaccounts accounts: 248 time: 5.03895367s
Block: 18911113 phase:balances accounts: 248 time: 190.564329ms
Block: 18911114 phase:modifiedaccounts accounts: 610 time: 5.067196297s
Block: 18911114 phase:balances accounts: 610 time: 715.421969ms
Block: 18911115 phase:modifiedaccounts accounts: 210 time: 5.656920437s
Block: 18911115 phase:balances accounts: 210 time: 113.858791ms
Block: 18911116 phase:modifiedaccounts accounts: 395 time: 3.954886519s
Block: 18911116 phase:balances accounts: 395 time: 272.581826ms
Block: 18911117 phase:modifiedaccounts accounts: 396 time: 5.499892653s
Block: 18911117 phase:balances accounts: 396 time: 126.382182ms
Block: 18911118 phase:modifiedaccounts accounts: 231 time: 4.601435334s
Block: 18911118 phase:balances accounts: 231 time: 135.277828ms
