Barycentric data loading time: 486.949326ms
Removing database directory samurai.db
Database directory samurai.db removed
Feeding update tasks to 16 workers
Block: 18909031 phase:modifiedaccounts accounts: 297 time: 4.927896446s
Block: 18909031 phase:balances accounts: 297 time: 25.860171ms
Block: 18909032 phase:modifiedaccounts accounts: 338 time: 3.938330816s
Block: 18909032 phase:balances accounts: 338 time: 17.945039ms
Block: 18909033 phase:modifiedaccounts accounts: 279 time: 4.239214799s
Block: 18909033 phase:balances accounts: 279 time: 14.2607ms
Block: 18909034 phase:modifiedaccounts accounts: 315 time: 4.765317423s
Block: 18909034 phase:balances accounts: 315 time: 17.086755ms
Block: 18909035 phase:modifiedaccounts accounts: 365 time: 4.170912422s
Block: 18909035 phase:balances accounts: 365 time: 30.609745ms
Block: 18909036 phase:modifiedaccounts accounts: 245 time: 4.897361301s
Block: 18909036 phase:balances accounts: 245 time: 13.188501ms
Block: 18909037 phase:modifiedaccounts accounts: 223 time: 4.795170296s
Block: 18909037 phase:balances accounts: 223 time: 21.79765ms
Block: 18909038 phase:modifiedaccounts accounts: 210 time: 4.471392314s
Block: 18909038 phase:balances accounts: 210 time: 12.333396ms
Block: 18909039 phase:modifiedaccounts accounts: 315 time: 4.581438083s
Block: 18909039 phase:balances accounts: 315 time: 20.297815ms
Block: 18909040 phase:modifiedaccounts accounts: 472 time: 3.665495594s
Block: 18909040 phase:balances accounts: 472 time: 21.091232ms
Block: 18909041 phase:modifiedaccounts accounts: 351 time: 4.549234755s
Block: 18909041 phase:balances accounts: 351 time: 17.866285ms
Block: 18909042 phase:modifiedaccounts accounts: 341 time: 3.839622006s
Block: 18909042 phase:balances accounts: 341 time: 19.685161ms
Block: 18909043 phase:modifiedaccounts accounts: 364 time: 4.626917353s
Block: 18909043 phase:balances accounts: 364 time: 24.189258ms
Block: 18909044 phase:modifiedaccounts accounts: 345 time: 4.720795607s
Block: 18909044 phase:balances accounts: 345 time: 45.605793ms
Block: 18909045 phase:modifiedaccounts accounts: 386 time: 4.071535688s
Block: 18909045 phase:balances accounts: 386 time: 27.445884ms
Block: 18909046 phase:modifiedaccounts accounts: 364 time: 4.816382287s
Block: 18909046 phase:balances accounts: 364 time: 17.324362ms
Block: 18909047 phase:modifiedaccounts accounts: 292 time: 4.083780376s
Block: 18909047 phase:balances accounts: 292 time: 45.07177ms
Block: 18909048 phase:modifiedaccounts accounts: 354 time: 4.332284267s
Block: 18909048 phase:balances accounts: 354 time: 15.728013ms
Block: 18909049 phase:modifiedaccounts accounts: 270 time: 4.552691659s
Block: 18909049 phase:balances accounts: 270 time: 16.197999ms
Block: 18909050 phase:modifiedaccounts accounts: 304 time: 3.311611667s
Block: 18909050 phase:balances accounts: 304 time: 15.300314ms
Block: 18909051 phase:modifiedaccounts accounts: 288 time: 5.411881345s
Block: 18909051 phase:balances accounts: 288 time: 14.993151ms
Block: 18909052 phase:modifiedaccounts accounts: 185 time: 3.927549504s
Block: 18909052 phase:balances accounts: 185 time: 10.067664ms
Block: 18909053 phase:modifiedaccounts accounts: 303 time: 4.827750891s
Block: 18909053 phase:balances accounts: 303 time: 13.81207ms
Block: 18909054 phase:modifiedaccounts accounts: 263 time: 3.579307063s
Block: 18909054 phase:balances accounts: 263 time: 33.187294ms
Block: 18909055 phase:modifiedaccounts accounts: 360 time: 4.731970502s
Block: 18909055 phase:balances accounts: 360 time: 18.571406ms
Block: 18909056 phase:modifiedaccounts accounts: 192 time: 4.217731113s
Block: 18909056 phase:balances accounts: 192 time: 11.818696ms
Block: 18909057 phase:modifiedaccounts accounts: 410 time: 3.459379275s
Block: 18909057 phase:balances accounts: 410 time: 20.897046ms
Block: 18909058 phase:modifiedaccounts accounts: 356 time: 3.884716009s
Block: 18909058 phase:balances accounts: 356 time: 34.339158ms
Block: 18909059 phase:modifiedaccounts accounts: 311 time: 3.937265649s
Block: 18909059 phase:balances accounts: 311 time: 16.922748ms
Block: 18909060 phase:modifiedaccounts accounts: 291 time: 4.274896561s
Block: 18909060 phase:balances accounts: 291 time: 14.76655ms
Block: 18909061 phase:modifiedaccounts accounts: 290 time: 3.691812708s
Block: 18909061 phase:balances accounts: 290 time: 26.806888ms
Block: 18909062 phase:modifiedaccounts accounts: 206 time: 4.962935542s
Block: 18909062 phase:balances accounts: 206 time: 13.282323ms
Block: 18909063 phase:modifiedaccounts accounts: 310 time: 3.634136819s
Block: 18909063 phase:balances accounts: 310 time: 22.270304ms
Block: 18909064 phase:modifiedaccounts accounts: 309 time: 4.571883363s
Block: 18909064 phase:balances accounts: 309 time: 21.952051ms
Block: 18909065 phase:modifiedaccounts accounts: 408 time: 3.965873079s
Block: 18909065 phase:balances accounts: 408 time: 42.175859ms
Block: 18909066 phase:modifiedaccounts accounts: 203 time: 4.33767561s
Block: 18909066 phase:balances accounts: 203 time: 13.276595ms
Block: 18909067 phase:modifiedaccounts accounts: 257 time: 3.815914768s
Block: 18909067 phase:balances accounts: 257 time: 12.2451ms
Block: 18909068 phase:modifiedaccounts accounts: 222 time: 3.376176775s
Block: 18909068 phase:balances accounts: 222 time: 15.266609ms
Block: 18909069 phase:modifiedaccounts accounts: 252 time: 5.168777367s
Block: 18909069 phase:balances accounts: 252 time: 15.356174ms
Block: 18909070 phase:modifiedaccounts accounts: 344 time: 3.340578892s
Block: 18909070 phase:balances accounts: 344 time: 19.121207ms
Block: 18909071 phase:modifiedaccounts accounts: 323 time: 4.713232968s
Block: 18909071 phase:balances accounts: 323 time: 17.176564ms
Block: 18909072 phase:modifiedaccounts accounts: 268 time: 3.775157563s
Block: 18909072 phase:balances accounts: 268 time: 18.393455ms
Block: 18909073 phase:modifiedaccounts accounts: 423 time: 4.292250321s
Block: 18909073 phase:balances accounts: 423 time: 25.026442ms
Block: 18909074 phase:modifiedaccounts accounts: 262 time: 4.604109406s
Block: 18909074 phase:balances accounts: 262 time: 15.563347ms
Block: 18909075 phase:modifiedaccounts accounts: 229 time: 3.495557775s
Block: 18909075 phase:balances accounts: 229 time: 14.166674ms
Block: 18909076 phase:modifiedaccounts accounts: 282 time: 4.375555617s
Block: 18909076 phase:balances accounts: 282 time: 24.51627ms
Block: 18909077 phase:modifiedaccounts accounts: 47 time: 4.44507354s
Block: 18909077 phase:balances accounts: 47 time: 4.46228ms
Block: 18909078 phase:modifiedaccounts accounts: 459 time: 5.08432964s
Block: 18909078 phase:balances accounts: 459 time: 24.932113ms
Block: 18909079 phase:modifiedaccounts accounts: 226 time: 3.899990075s
Block: 18909079 phase:balances accounts: 226 time: 22.346558ms
Block: 18909080 phase:modifiedaccounts accounts: 421 time: 3.721649675s
Block: 18909080 phase:balances accounts: 421 time: 20.115253ms
Block: 18909081 phase:modifiedaccounts accounts: 282 time: 3.721149931s
Block: 18909081 phase:balances accounts: 282 time: 23.988105ms
Block: 18909082 phase:modifiedaccounts accounts: 227 time: 4.287335169s
Block: 18909082 phase:balances accounts: 227 time: 21.597811ms
Block: 18909083 phase:modifiedaccounts accounts: 303 time: 4.838995887s
Block: 18909083 phase:balances accounts: 303 time: 17.806669ms
Block: 18909084 phase:modifiedaccounts accounts: 362 time: 4.93830929s
Block: 18909084 phase:balances accounts: 362 time: 18.497053ms
Block: 18909085 phase:modifiedaccounts accounts: 342 time: 3.870208384s
Block: 18909085 phase:balances accounts: 342 time: 16.525163ms
Block: 18909086 phase:modifiedaccounts accounts: 271 time: 4.377073842s
Block: 18909086 phase:balances accounts: 271 time: 15.343335ms
Block: 18909087 phase:modifiedaccounts accounts: 236 time: 4.00133913s
Block: 18909087 phase:balances accounts: 236 time: 13.437901ms
Block: 18909088 phase:modifiedaccounts accounts: 241 time: 4.824923732s
Block: 18909088 phase:balances accounts: 241 time: 12.586844ms
Block: 18909089 phase:modifiedaccounts accounts: 227 time: 3.354073365s
Block: 18909089 phase:balances accounts: 227 time: 15.782925ms
Block: 18909090 phase:modifiedaccounts accounts: 259 time: 4.622051326s
Block: 18909090 phase:balances accounts: 259 time: 14.675927ms
Block: 18909091 phase:modifiedaccounts accounts: 381 time: 3.274315567s
Block: 18909091 phase:balances accounts: 381 time: 27.63673ms
Block: 18909092 phase:modifiedaccounts accounts: 244 time: 4.141895256s
Block: 18909092 phase:balances accounts: 244 time: 11.61643ms
Block: 18909093 phase:modifiedaccounts accounts: 190 time: 4.008402608s
Block: 18909093 phase:balances accounts: 190 time: 24.708521ms
Block: 18909094 phase:modifiedaccounts accounts: 244 time: 4.705909893s
Block: 18909094 phase:balances accounts: 244 time: 15.250668ms
Block: 18909095 phase:modifiedaccounts accounts: 410 time: 3.281854368s
Block: 18909095 phase:balances accounts: 410 time: 17.674901ms
Block: 18909096 phase:modifiedaccounts accounts: 326 time: 4.519422348s
Block: 18909096 phase:balances accounts: 326 time: 17.442499ms
Block: 18909097 phase:modifiedaccounts accounts: 315 time: 3.416955224s
Block: 18909097 phase:balances accounts: 315 time: 16.140236ms
Block: 18909098 phase:modifiedaccounts accounts: 318 time: 4.701961789s
Block: 18909098 phase:balances accounts: 318 time: 15.620921ms
Block: 18909099 phase:modifiedaccounts accounts: 319 time: 3.023528406s
Block: 18909099 phase:balances accounts: 319 time: 19.858785ms
Block: 18909100 phase:modifiedaccounts accounts: 404 time: 5.016292281s
Block: 18909100 phase:balances accounts: 404 time: 25.380985ms
Block: 18909101 phase:modifiedaccounts accounts: 258 time: 4.146327893s
Block: 18909101 phase:balances accounts: 258 time: 23.599023ms
Block: 18909102 phase:modifiedaccounts accounts: 301 time: 5.01993818s
